INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.885, eval/precision = 0.92390853, eval/recall = 0.9231408, global_step = 50000, loss = 0.33094242
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9078125, eval/precision = 0.92580646, eval/recall = 0.9538845, global_step = 50000, loss = 0.28985026
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9190625, eval/precision = 0.92051685, eval/recall = 0.9767345, global_step = 50000, loss = 0.29579875
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9021875, eval/precision = 0.92560977, eval/recall = 0.94599086, global_step = 50000, loss = 0.30852345
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8903125, eval/precision = 0.93710154, eval/recall = 0.9156977, global_step = 50000, loss = 0.30858594
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9253125, eval/precision = 0.947564, eval/recall = 0.95346904, global_step = 50000, loss = 0.29254958
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.900625, eval/precision = 0.91170675, eval/recall = 0.9609472, global_step = 50000, loss = 0.2993176
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.925, eval/precision = 0.9332267, eval/recall = 0.9696718, global_step = 50000, loss = 0.29452473
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.901875, eval/precision = 0.92523366, eval/recall = 0.94599086, global_step = 50000, loss = 0.29946136
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8959375, eval/precision = 0.93064785, eval/recall = 0.9310345, global_step = 50000, loss = 0.2897677
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9028125, eval/precision = 0.9260163, eval/recall = 0.9464063, global_step = 50000, loss = 0.29822457
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9253125, eval/precision = 0.93394715, eval/recall = 0.96925634, global_step = 50000, loss = 0.27470264
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.885, eval/precision = 0.8825516, eval/recall = 0.97714996, global_step = 50000, loss = 0.32495964
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8778125, eval/precision = 0.950805, eval/recall = 0.88325715, global_step = 50000, loss = 0.3222998
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9084375, eval/precision = 0.9262097, eval/recall = 0.9543, global_step = 50000, loss = 0.31548926
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.925625, eval/precision = 0.94103295, eval/recall = 0.9613627, global_step = 50000, loss = 0.30291548
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9015625, eval/precision = 0.92520326, eval/recall = 0.9455754, global_step = 50000, loss = 0.31926036
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.866875, eval/precision = 0.915304, eval/recall = 0.9069381, global_step = 50000, loss = 0.36820585
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.901875, eval/precision = 0.94512975, eval/recall = 0.9231408, global_step = 50000, loss = 0.30427718
