Wall time,Step,Value
1528650588.45346,1,0.7121416330337524
1528650598.420923,100,5.212682723999023
1528650602.991243,199,3.2121353149414062
1528650607.668606,298,2.003760814666748
1528650612.355468,397,1.4633235931396484
1528650616.877575,496,1.245574951171875
1528650621.55981,595,0.8647432327270508
1528650626.178069,694,0.6223697662353516
1528650630.882007,793,0.5591230392456055
1528650635.384055,892,0.4930744171142578
1528650640.155794,991,0.49335765838623047
1528650644.781265,1090,0.45830249786376953
1528650649.276941,1189,0.4638843536376953
1528650653.70837,1288,0.4772500991821289
1528650658.207506,1387,0.47171688079833984
1528650662.695426,1486,0.4567584991455078
1528650667.354622,1585,0.3687114715576172
1528650671.965506,1684,0.4006767272949219
1528650676.637917,1783,0.4103202819824219
1528650681.316027,1882,0.40576171875
1528650685.881664,1981,0.33056163787841797
1528650690.486744,2080,0.378662109375
1528650695.1058,2179,0.35312461853027344
1528650699.708731,2278,0.38628196716308594
1528650704.375281,2377,0.3667716979980469
1528650709.107152,2476,0.36522674560546875
1528650713.82009,2575,0.4002676010131836
1528650718.451839,2674,0.3614969253540039
1528650723.066672,2773,0.37239837646484375
1528650727.74861,2872,0.3917961120605469
1528650732.2725,2971,0.40163421630859375
1528650736.873694,3070,0.38947296142578125
1528650741.222814,3169,0.3493824005126953
1528650745.700164,3268,0.34484004974365234
1528650750.410441,3367,0.3659019470214844
1528650754.906419,3466,0.3832874298095703
1528650759.379514,3565,0.3538055419921875
1528650763.838033,3664,0.3881101608276367
1528650768.461539,3763,0.3477354049682617
1528650773.077495,3862,0.388031005859375
1528650777.683288,3961,0.4109039306640625
1528650782.213808,4060,0.3745450973510742
1528650786.703283,4159,0.4040336608886719
1528650791.171212,4258,0.3389167785644531
1528650795.869573,4357,0.3427391052246094
1528650800.542425,4456,0.36096668243408203
1528650805.220203,4555,0.3739757537841797
1528650809.883674,4654,0.322967529296875
1528650814.450544,4753,0.40459632873535156
1528650819.119918,4852,0.3770713806152344
1528650823.542965,4951,0.3643779754638672
1528650828.070479,5050,0.3902101516723633
1528650832.713322,5149,0.4014263153076172
1528650837.379329,5248,0.37146472930908203
1528650842.054926,5347,0.3627805709838867
1528650846.803923,5446,0.36249828338623047
1528650851.410927,5545,0.43239879608154297
1528650855.92613,5644,0.3734731674194336
1528650860.484447,5743,0.332794189453125
1528650864.92559,5842,0.3809041976928711
1528650869.30495,5941,0.32695960998535156
1528650873.775556,6040,0.33814430236816406
1528650878.265911,6139,0.29938220977783203
1528650882.677452,6238,0.33065032958984375
1528650887.253498,6337,0.31673240661621094
1528650891.892402,6436,0.3192625045776367
1528650896.177921,6535,0.3021697998046875
1528650900.555492,6634,0.24805355072021484
1528650904.977687,6733,0.26637840270996094
1528650909.591333,6832,0.29076671600341797
1528650914.158878,6931,0.26976776123046875
1528650918.676746,7030,0.2629432678222656
1528650923.198189,7129,0.28827667236328125
1528650927.758271,7228,0.25635814666748047
1528650932.316501,7327,0.25930023193359375
1528650937.023112,7426,0.2744159698486328
1528650941.616993,7525,0.2683277130126953
1528650946.220182,7624,0.2512340545654297
1528650950.918134,7723,0.23104095458984375
1528650955.753937,7822,0.2232341766357422
1528650960.399903,7921,0.2460460662841797
1528650964.843502,8020,0.21913433074951172
1528650969.362086,8119,0.22623729705810547
1528650974.031882,8218,0.21637535095214844
1528650978.704634,8317,0.206146240234375
1528650983.392874,8416,0.22112178802490234
1528650988.07564,8515,0.19954776763916016
1528650992.782862,8614,0.23379802703857422
1528650997.530537,8713,0.22326087951660156
1528651002.159195,8812,0.25640296936035156
1528651006.770208,8911,0.21914100646972656
1528651011.572634,9010,0.24434661865234375
1528651016.160137,9109,0.22502708435058594
1528651020.895242,9208,0.23304462432861328
1528651025.506106,9307,0.219085693359375
1528651030.265418,9406,0.19518089294433594
1528651034.83137,9505,0.24145221710205078
1528651039.390647,9604,0.22907447814941406
1528651044.154656,9703,0.2093639373779297
1528651048.877009,9802,0.21616268157958984
1528651053.379763,9901,0.1954488754272461
1528651057.807074,10000,0.21537113189697266
1528651062.288449,10099,0.2530536651611328
1528651066.838125,10198,0.19792556762695312
1528651071.533623,10297,0.22768497467041016
1528651076.163866,10396,0.20688629150390625
1528651080.786825,10495,0.24373912811279297
1528651085.410331,10594,0.1920461654663086
1528651089.91079,10693,0.2137002944946289
