Wall time,Step,Value
1528650846.803923,5446,-10.017292976379395
1528650851.410927,5545,-10.065703392028809
1528650855.92613,5644,-10.06705379486084
1528650860.484447,5743,-10.048044204711914
1528650864.92559,5842,-10.069256782531738
1528650869.30495,5941,-10.086484909057617
1528650873.775556,6040,-10.078845977783203
1528650878.265911,6139,-10.046736717224121
1528650882.677452,6238,-10.07072639465332
1528650887.253498,6337,-10.035282135009766
1528650891.892402,6436,-10.055743217468262
1528650896.177921,6535,-9.978904724121094
1528650900.555492,6634,-9.970765113830566
1528650904.977687,6733,-9.935760498046875
1528650909.591333,6832,-9.921608924865723
1528650914.158878,6931,-9.976391792297363
1528650918.676746,7030,-9.951108932495117
1528650923.198189,7129,-9.918094635009766
1528650927.758271,7228,-9.921809196472168
1528650932.316501,7327,-9.922091484069824
1528650937.023112,7426,-9.899383544921875
1528650941.616993,7525,-9.85915756225586
1528650946.220182,7624,-9.850984573364258
1528650950.918134,7723,-9.799832344055176
1528650955.753937,7822,-9.817276000976562
1528650960.399903,7921,-9.769956588745117
1528650964.843502,8020,-9.735722541809082
1528650969.362086,8119,-9.73444652557373
1528650974.031882,8218,-9.690896987915039
1528650978.704634,8317,-9.669683456420898
1528650983.392874,8416,-9.683141708374023
1528650988.07564,8515,-9.673468589782715
1528650992.782862,8614,-9.688948631286621
1528650997.530537,8713,-9.684877395629883
1528651002.159195,8812,-9.67849349975586
1528651006.770208,8911,-9.640140533447266
1528651011.572634,9010,-9.68351936340332
1528651016.160137,9109,-9.661539077758789
1528651020.895242,9208,-9.706426620483398
1528651025.506106,9307,-9.72962760925293
1528651030.265418,9406,-9.723867416381836
1528651034.83137,9505,-9.779010772705078
1528651039.390647,9604,-9.74606704711914
1528651044.154656,9703,-9.788383483886719
1528651048.877009,9802,-9.809552192687988
1528651053.379763,9901,-9.823810577392578
1528651057.807074,10000,-9.884138107299805
1528651062.288449,10099,-9.881646156311035
1528651066.838125,10198,-9.877119064331055
1528651071.533623,10297,-9.892755508422852
1528651076.163866,10396,-9.91987419128418
1528651080.786825,10495,-9.937047958374023
1528651085.410331,10594,-9.940135955810547
1528651089.91079,10693,-9.989845275878906
1528651094.51914,10792,-9.949117660522461
1528651099.219245,10891,-10.010345458984375
1528651103.928972,10990,-10.016280174255371
1528651108.607024,11089,-10.049169540405273
1528651112.971252,11188,-10.070274353027344
1528651117.400509,11287,-10.083728790283203
1528651121.913218,11386,-10.093423843383789
1528651126.35031,11485,-10.084829330444336
1528651130.843834,11584,-10.09518814086914
1528651135.393977,11683,-10.112671852111816
1528651139.801085,11782,-10.103403091430664
1528651144.337502,11881,-10.109439849853516
1528651148.837498,11980,-10.120615005493164
1528651153.640882,12079,-10.126365661621094
1528651158.262893,12178,-10.123194694519043
1528651162.986027,12277,-10.127666473388672
1528651167.64619,12376,-10.117103576660156
1528651172.318786,12475,-10.111376762390137
