INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.913125, eval/precision = 0.9690166, eval/recall = 0.9117026, global_step = 50000, loss = 0.30428693
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8915625, eval/precision = 0.9680259, eval/recall = 0.8825517, global_step = 50000, loss = 0.29534754
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.869375, eval/precision = 0.9120507, eval/recall = 0.9112801, global_step = 50000, loss = 0.35201764
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.913125, eval/precision = 0.9412759, eval/recall = 0.9412759, global_step = 50000, loss = 0.28061768
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.869375, eval/precision = 0.9117026, eval/recall = 0.9117026, global_step = 50000, loss = 0.32744068
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.89125, eval/precision = 0.93948627, eval/recall = 0.9117026, global_step = 50000, loss = 0.29231533
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.913125, eval/precision = 0.9412759, eval/recall = 0.9412759, global_step = 50000, loss = 0.2972166
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.869375, eval/precision = 0.9117026, eval/recall = 0.9117026, global_step = 50000, loss = 0.32067683
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.89125, eval/precision = 0.93948627, eval/recall = 0.9117026, global_step = 50000, loss = 0.29819432
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.913125, eval/precision = 0.9412759, eval/recall = 0.9412759, global_step = 50000, loss = 0.29447654
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.913125, eval/precision = 0.9412759, eval/recall = 0.9412759, global_step = 50000, loss = 0.3061347
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8696875, eval/precision = 0.9120879, eval/recall = 0.9117026, global_step = 50000, loss = 0.28352967
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.913125, eval/precision = 0.9166334, eval/recall = 0.97084916, global_step = 50000, loss = 0.28182286
