INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9259375, eval/precision = 0.9602158, eval/recall = 0.8888889, global_step = 50000, loss = 0.3029074
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.88875, eval/precision = 0.92037785, eval/recall = 0.8514357, global_step = 50000, loss = 0.30601797
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9075, eval/precision = 0.95856744, eval/recall = 0.8520599, global_step = 50000, loss = 0.32661495
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.88875, eval/precision = 0.8888889, eval/recall = 0.8888889, global_step = 50000, loss = 0.3109539
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9075, eval/precision = 0.923476, eval/recall = 0.8888889, global_step = 50000, loss = 0.3072352
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.888125, eval/precision = 0.9197031, eval/recall = 0.8508115, global_step = 50000, loss = 0.30987298
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8328125, eval/precision = 0.8754398, eval/recall = 0.7765293, global_step = 50000, loss = 0.34817305
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.88875, eval/precision = 0.8888889, eval/recall = 0.8888889, global_step = 50000, loss = 0.35581288
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9071875, eval/precision = 0.8928356, eval/recall = 0.92571783, global_step = 50000, loss = 0.31507275
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.88875, eval/precision = 0.8888889, eval/recall = 0.8888889, global_step = 50000, loss = 0.3243659
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9075, eval/precision = 0.923476, eval/recall = 0.8888889, global_step = 50000, loss = 0.29629323
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.85125, eval/precision = 0.87989205, eval/recall = 0.81398255, global_step = 50000, loss = 0.33231986
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.88875, eval/precision = 0.92037785, eval/recall = 0.8514357, global_step = 50000, loss = 0.33216557
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.851875, eval/precision = 0.82790697, eval/recall = 0.8888889, global_step = 50000, loss = 0.34697464
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9075, eval/precision = 0.923476, eval/recall = 0.8888889, global_step = 50000, loss = 0.3255701
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8884375, eval/precision = 0.91975725, eval/recall = 0.8514357, global_step = 50000, loss = 0.30889207
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.851875, eval/precision = 0.8525, eval/recall = 0.8514357, global_step = 50000, loss = 0.32782114
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8696875, eval/precision = 0.91637385, eval/recall = 0.81398255, global_step = 50000, loss = 0.32645145
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8515625, eval/precision = 0.8519675, eval/recall = 0.8514357, global_step = 50000, loss = 0.324308
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.814375, eval/precision = 0.815, eval/recall = 0.81398255, global_step = 50000, loss = 0.35745242
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.88875, eval/precision = 0.92037785, eval/recall = 0.8514357, global_step = 50000, loss = 0.33492187
